PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
766000,milik sendiri,260,17,seng,kayu kualitas rendah,kayu,SD,tidak ada,sungai,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTSM
558000,milik sendiri,238,185,seng,beton,keramik,SMP,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTHM
333000,milik sendiri,261,186,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban umum,listrik PLN,mata air,gas LPG,sawah,RTM
2215000,milik sendiri,209,226,seng,beton,tanah,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
4750000,milik orang lain,401,188,seng,beton,semen,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
1554000,milik sendiri,202,227,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
2000000,milik sendiri,262,228,seng,beton,keramik,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
4750000,milik orang lain,1230,229,seng,beton,semen,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
200000,milik orang lain,91,24,seng,kayu kualitas rendah,tanah,SMP,berkelompok bersama tetangga,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTSM
250000,milik sendiri,51,230,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
416000,milik orang lain,203,231,genteng,beton,semen,SD,tidak ada,jamban umum,listrik non PLN,mata air,kayu bakar,sawah,RTSM
1000000,milik sendiri,376,232,seng,beton,keramik,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
200000,milik sendiri,37,9,seng,beton,semen,SMA,tidak ada,sungai,tidak ada,mata air,kayu bakar,sawah,RTM
400000,milik sendiri,196,233,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
1333000,milik sendiri,78,26,seng,kayu kualitas rendah,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,kayu bakar,sawah,RTM
1000000,milik sendiri,263,28,kayu jerami,kayu kualitas rendah,kayu,SMP,tidak ada,sungai,listrik PLN,mata air,gas LPG,sawah,RTM
333000,milik sendiri,730,234,seng,beton,keramik,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,302,235,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTM
2000000,milik orang lain,192,236,seng,beton,semen,SD,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
1666000,milik orang lain,264,237,seng,kayu kualitas tinggi,kayu,SD,tidak ada,jamban sendiri,listrik PLN,mata air,kayu bakar,sawah,RTSM
3000000,milik sendiri,212,238,seng,beton,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,gas LPG,sawah,RTM
1416000,milik sendiri,451,239,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
2666000,milik orang lain,303,158,seng,kayu kualitas rendah,semen,SMA,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,sawah,RTM
666000,milik sendiri,42,240,seng,beton,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,gas LPG,sawah,RTM
500000,milik sendiri,38,10,seng,beton,semen,SMP,tidak ada,sungai,tidak ada,mata air,gas LPG,sawah,RTM
3900000,milik sendiri,204,101,seng,kayu kualitas tinggi,kayu,S1,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
200000,milik orang lain,213,241,seng,beton,semen,SMA,tidak ada,jamban umum,tidak ada,mata air,gas LPG,sawah,RTSM
300000,milik sendiri,425,243,seng,beton,tegel,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
2500000,milik sendiri,81,19,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTHM
1000000,milik orang lain,104,169,genteng,beton,keramik,SMA,berkelompok bersama tetangga,jamban sendiri,listrik PLN,mata air,minyak tanah,lubang ditanah,RTHM
187000,milik sendiri,282,29,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
1500000,milik sendiri,644,244,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
112000,milik sendiri,1232,832,seng,kayu kualitas tinggi,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1333000,milik sendiri,402,171,seng,beton,tegel,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,58,172,seng,kayu kualitas rendah,tanah,SMP,tidak ada,sungai,listrik PLN,mata air,gas LPG,sawah,RTM
187000,milik sendiri,645,173,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTM
4000000,milik sendiri,1250,174,seng,beton,tegel,S1,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
410000,milik sendiri,121,175,seng,kayu kualitas rendah,kayu,SMA,tidak ada,sungai,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTSM
3000000,milik sendiri,140,833,seng,beton,keramik,S1,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
200000,milik sendiri,40,177,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
750000,milik sendiri,214,178,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
750000,milik sendiri,373,245,seng,beton,keramik,SD,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
833000,milik sendiri,374,109,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
700000,milik sendiri,646,246,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
3000000,milik sendiri,1233,375,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,647,247,seng,beton,semen,SMA,tidak ada,sungai,listrik PLN,mata air,kayu bakar,sawah,RTM
583000,milik sendiri,215,248,seng,kayu kualitas rendah,semen,SMA,tidak ada,sungai,listrik PLN,mata air,gas LPG,sawah,RTM
80000,milik sendiri,440,249,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTM
850000,milik sendiri,600,834,seng,beton,tegel,SMA,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTHM
333000,milik sendiri,216,111,seng,beton,semen,SMA,sendiri,sungai,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
3400000,milik sendiri,241,251,seng,beton,keramik,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1000000,milik sendiri,217,252,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
688000,milik sendiri,180,253,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
200000,milik sendiri,266,254,seng,beton,keramik,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
208000,milik sendiri,1263,152,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
500000,milik sendiri,377,255,seng,beton,semen,SMP,tidak ada,jamban umum,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
